,try
542,mellow
543,melted
544,minty
545,moldy
546,mouth-watering
547,nauseating
548,nutritious
549,nutty
550,palatable
551,peppery
552,pickled
553,piquant
554,raw
555,refreshing
556,rich
557,ripe
558,rotten
559,salted
560,salty
561,savory
562,scrumptious
563,sour
564,spicy
565,spoiled
566,stale
567,sugary
568,sweet
569,syrupy
570,tangy
571,tantalizing
572,tart
573,tasteless
574,tasty
575,unappetizing
576,unripe
577,vinegary
578,yummy
579,zesty
580,ambrosial
581,antiseptic
582,aroma
583,aromatic
584,briny
585,citrusy
586,decayed
587,decomposed
588,doggy
589,fetid
590,floral
591,flowery
592,foul-smelling
593,fragrant
594,gamy
595,gaseous
596,horrid
597,inodorous
598,malodorous
599,mephitic
600,musky
601,musty
602,odiferous
603,odor
604,odorless
605,old
606,perfumed
607,piney
608,polluted
609,pungent
610,putrid
611,rancid
612,rank
613,redolent
614,reeking
615,scent
616,scented
617,sickly
618,skunky
619,smell
620,smoky
621,stagnant
622,stench
623,steno
624,stinky
625,tempting
626,whiff
